geoserver,nombre,descripcion,wfs_activo,fallas_wfs_90d,bbox_area,n_features,bytes_estimados,errores_evaluar,errores_archivar,archivado,fecha_ultima_evaluacion,fecha_ultimo_archivo_intento,fecha_archivado
mdryt.observatorioagro,ppbr:PROCAMELIDOS_2023,,True,24,25.888646,22.000000,32138.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:ORU_quema2023,,True,24,0.551998,5.000000,34350.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:CULTIVOS_DE_HORTALIZAS,,True,24,3.163463,3.000000,45190.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:DETI_I_2020,,True,24,32.200182,112.000000,68634.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:DETI_II_2020,,True,24,52.216621,128.000000,79974.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:FRUTOS_AMAZONICOS_2023,,True,24,22.525999,65.000000,89622.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:FONADIN_2023,,True,24,3.885468,82.000000,104583.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:IPDSA_PERIURB,,True,24,108.148434,63.000000,105361.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:CULTIVOS_AGRICOLAS_LIMITADO,,True,24,1.393668,6.000000,120292.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:FRUTOS_DEL_VALLE_2023,,True,24,52.705029,92.000000,121238.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:PICAR_2020,,True,24,32.278600,173.000000,137327.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:ACCESOS_2020,,True,24,111.674488,187.000000,142008.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:CACAO_2023,,True,24,44.912537,111.000000,148607.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:07072025,,True,24,103.160688,287.000000,149470.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:TURISMO_DE_AVENTURA,,True,24,17.646906,10.000000,158438.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:CapitalesMunicipales,,True,24,150.198427,339.000000,174382.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:GIRASOL_GRANO_COMUNIDAD,,True,24,42.328290,319.000000,174429.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:Area_Protegida_Departamental,,True,24,113.307859,27.000000,191101.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:RIEGO_2023,,True,24,48.788448,361.000000,195012.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:VIDA_SILVESTRE,,True,24,74.481324,73.000000,203787.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:IPDSA_TUB_2023,,True,24,29.086918,156.000000,210319.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:ReservoriosAgua2004,,True,24,130.800816,552.000000,230846.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:AJO_COMUNIDAD,,True,24,45.389065,441.000000,242550.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:PAR_II_2020,,True,24,63.002957,390.000000,245076.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:Area_Protegida_Municipal,,True,24,99.209329,54.000000,247212.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:PAR_I_2020,,True,24,54.756219,377.000000,247991.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:SESAMO_COMUNIDAD,,True,24,68.859827,480.000000,259200.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:Riego_PreInv_30_05_2018,,True,24,85.599790,358.000000,275732.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:PAPS_II_2020_2,,True,24,0.985870,662.000000,320408.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:Macroregiones,,True,24,161.368986,7.000000,374056.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:NUESTRO_POZO_2023,,True,24,60.530837,286.000000,406921.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:MANZANA_COMUNIDAD,,True,24,38.777438,782.000000,413678.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:BHS_indice_aridez_C,,True,24,157.914438,89.000000,423996.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:SORGO_COMUNIDAD,,True,24,115.273858,809.000000,424725.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:BHS_evapotranspiracion_real_c,,True,24,157.914438,89.000000,425189.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:LIMON_COMUNIDAD,,True,24,142.549612,850.000000,449140.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:UCEP_2023,,True,24,49.365349,638.000000,467909.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:SOYA_COMUNIDAD,,True,24,129.524385,941.000000,496283.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:Area_Protegida_Nacional,,True,24,138.378983,22.000000,533760.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:CHQ_quema2023,,True,24,4.765689,218.000000,535888.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:CACAO_COMUNIDAD,,True,24,46.049806,1148.000000,615558.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:Caudal_especifico,,True,24,163.068555,87.000000,690589.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:coeficiente_escorrentia,,True,24,163.068555,87.000000,691041.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:evapotranspiracion_potencial_c,,True,24,163.068555,88.000000,699688.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:AP_SB_05_03_2018,,True,24,136.572324,745.000000,709389.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:MIC_2018,,True,24,28.162039,21.000000,740762.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:PINIA_COMUNIDAD,,True,24,139.728763,1427.000000,764016.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:PND_quema2023,,True,24,11.298868,377.000000,848552.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:CAFE_COMUNIDAD,,True,24,116.805054,1639.000000,859819.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:PLATANO_BANANO_COMUNIDAD,,True,24,144.351486,1545.000000,867981.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:CANIA_AZUCAR_COMUNIDAD,,True,24,146.533281,1830.000000,1015650.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:TOMATE_COMUNIDAD,,True,24,152.460901,2001.000000,1074537.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:PAR_II_2023,,True,24,144.600743,819.000000,1112857.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:Riego_Inv_09_07_2018,,True,24,61.076809,1505.000000,1149218.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:rios_principales_wgs_84,,True,24,163.686892,818.000000,1199352.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:DURAZNO_COMUNIDAD,,True,24,47.519522,2321.000000,1259375.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:MANI_COMUNIDAD,,True,24,146.187954,2464.000000,1301978.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:BENI_SOYA_PRED_CULT,,True,24,2.099808,749.000000,1393440.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:AP_MIAGUA_05_03_2018,,True,24,,2218.000000,1452790.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:Red_Fundamental,,True,24,145.502794,1005.000000,1482174.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:NARANJA_COMUNIDAD,,True,24,139.747869,2836.000000,1548456.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:MANDARINA_COMUNIDAD,,True,24,133.421760,2838.000000,1554656.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,ppbr:SILVOPASTORIL_LIMITADO,,True,24,1.152322,7.000000,1842387.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:QUINUA_COMUNIDAD,,True,24,43.663296,3561.000000,1947867.000000,0,0,False,2026-04-12,,
mdryt.observatorioagro,bolivia:FRIJOL_COMUNIDAD,,True,24,148.663971,3785.000000,2013620.000000,0,0,False,2026-04-12,,
